행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
청소년 연극 <지수가 누구야>,유채꽃소극장,연극,2022-03-29,2022-03-29,19:30,21:00,무료,구리문화재단,구리문화재단,031-580-7900,,220,,만 12세 이상,,,http://www.guriart.or.kr,http://www.guriart.or.kr,Y,경기도 구리시 아차산로 453,,,,2025-07-29,3980000,경기도 구리시
[문화가 있는 날] 남경주와 함께하는 올댓스테이지 - 뮤지컬,코스모스대극장,뮤지컬,2022-03-30,2022-03-30,11:00,21:00,유료,구리문화재단,구리문화재단,031-580-7900,,387,전석 1만원,만 7세 이상,,,http://www.guriart.or.kr,http://www.guriart.or.kr,Y,경기도 구리시 아차산로 453,,,,2025-07-29,3980000,경기도 구리시
존노 <디 아더 사이드 (The Other Side)> 앵콜 콘서트,코스모스대극장,크로스오버,2022-04-09,2022-04-09,17:00,21:00,유료,구리문화재단,구리문화재단,031-580-7900,,500,R석 9만9천원+S석 7만7천원,만 7세 이상,,,http://www.guriart.or.kr,http://www.guriart.or.kr,Y,경기도 구리시 아차산로 453,,,,2025-07-29,3980000,경기도 구리시
(혁신)명작뮤지컬<넌 특별하단다>(온라인 비대면),온라인,뮤지컬,2022-04-19,2022-04-21,19:00,21:00,유료,구리문화재단,구리문화재단,031-580-7900,,500,전석 1만3천원,,,,http://www.guriart.or.kr,http://www.guriart.or.kr,Y,경기도 구리시 아차산로 453,,,,2025-07-29,3980000,경기도 구리시
[Live Up]ep.04 쏜애플 콘서트,코스모스대극장,대중음악,2022-04-23,2022-04-23,19:00,21:00,유료,구리문화재단,구리문화재단,031-580-7900,,597,R석 6만원+S석 5만원,만 13세 이상,,,http://www.guriart.or.kr,http://www.guriart.or.kr,Y,경기도 구리시 아차산로 453,,,,2025-07-29,3980000,경기도 구리시
[문화가 있는 날] 남경주와 함께하는 올댓스테이지-클래식,코스모스대극장,클래식,2022-04-27,2022-04-27,11:00,21:00,유료,구리문화재단,구리문화재단,031-580-7900,,387,전석 1만원,만 7세 이상,,,http://www.guriart.or.kr,http://www.guriart.or.kr,Y,경기도 구리시 아차산로 453,,,,2025-07-29,3980000,경기도 구리시
가족뮤지컬<꼬마버스 타요>,코스모스대극장,뮤지컬,2022-05-05,2022-05-07,11:00,21:00,유료,구리문화재단,구리문화재단,031-580-7900,,2985,R석 3만5천원+S석 2만5천원,만 20개월이상,,,http://www.guriart.or.kr,http://www.guriart.or.kr,Y,경기도 구리시 아차산로 453,,,,2025-07-29,3980000,경기도 구리시
넌버벌 가족극 <네네네>,유채꽃소극장,연극,2022-05-14,2022-05-15,11:00,21:00,유료,구리문화재단,구리문화재단,031-580-7900,,280,전석 2만5천원,만 36개월이상,,,http://www.guriart.or.kr,http://www.guriart.or.kr,Y,경기도 구리시 아차산로 453,,,,2025-07-29,3980000,경기도 구리시
봉오동전투,창녕문화예술회관 대공연장,영화,2020-08-15,2020-08-15,10:30,12:45,무료,경상남도 창녕군청,경상남도 창녕군청,055-530-1911,,496,,15세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
다만 악에서 구하소서,창녕문화예술회관 대공연장,영화,2020-08-15,2020-08-15,16:00,17:48,유료,CJ CGV,경상남도 창녕군청,055-530-1911,,496,7000원,15세 이상,5000원(청소년+장애인+유공자+만65세 이상 경로자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
킹스턴 루디스카 콘서트,창녕문화예술회관 대공연장,콘서트,2020-10-26,2020-10-26,19:00,20:10,유료,뮤직앤컴퍼니,경상남도 창녕군청,055-530-1911,,496,3000원,8세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
임동혁 피아노 리사이틀,창녕문화예술회관 대공연장,클래식,2020-11-04,2020-11-04,19:00,20:30,유료,경상남도 창녕군청,경상남도 창녕군청,055-530-1911,,496,1층: 15000원+2층: 11000원,8세 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
옹알스,창녕문화예술회관 대공연장,개그쇼,2020-11-11,2020-11-11,19:00,20:10,유료,경상남도 창녕군청,경상남도 창녕군청,055-530-1911,,496,1층: 10000원+2층: 7000원,8세 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
아름다운 가사 콘서트,창녕문화예술회관 대공연장,콘서트,2020-11-20,2020-11-20,19:00,21:00,유료,함박우슴,경상남도 창녕군청,055-530-1911,,496,1층: 10000원+2층: 7000원,8세 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
신명,창녕문화예술회관 대공연장,콘서트,2020-11-23,2020-11-23,19:00,20:10,무료,예술단 락,경상남도 창녕군청,055-530-1911,,496,,8세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
해피홀릭 콘서트,창녕문화예술회관 대공연장,콘서트,2020-11-27,2020-11-27,19:00,20:20,유료,두팔로,경상남도 창녕군청,055-530-1911,,496,3000원,8세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
2020송년음악회(비대면),창녕문화예술회관 대공연장,음악회,2020-12-11,2020-12-11,19:00,21:00,무료,경상남도 창녕군청,경상남도 창녕군청,055-530-1911,,496,,8세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
미나리,창녕문화예술회관 대공연장,영화,2021-04-14,2021-04-14,19:00,20:53,무료,경상남도 창녕군청,경상남도 창녕군청,055-530-1911,,496,,12세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
호두까기인형(스크린 영상),창녕문화예술회관 대공연장,무용,2021-04-21,2021-04-21,19:00,20:30,무료,예술의전당,경상남도 창녕군청,055-530-1911,,496,,8세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
영상으로 만나는 신데렐라,창녕문화예술회관 대공연장,무용,2021-05-04,2021-05-04,19:00,20:30,유료,부산발레시어터,경상남도 창녕군청,055-530-1911,,496,15000원,5세 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
을사년 마산만날제,"마산만날제 공원, 3.15해양누리공원","전통민속예술공연, 민속체험마당 등",2025-10-07,2025-10-09,09:00,21:00,무료,경상남도 창원시,경상남도 창원시,055-225-3664,,,,,,,,, ,"경상남도 창원시 성산구 중앙대로 151, 문화예술과 (용호동) (용호동)",,35.22796138,128.6819403,2025-08-07,5670000,경상남도 창원시
2025 창원 K-POP 월드 페스티벌,창원광장(성산구 중앙동 501-44),세계 각국 K-POP 팀 본선 경연 및 국내 K-POP 가수 축하공연 등,2025-10-17,2025-10-17,19:00,23:00,무료,경상남도 창원시,경상남도 창원시,055-225-3665,,,,,,,,, ,"경상남도 창원시 성산구 중앙대로 151, 문화예술과 (용호동) (용호동)",,35.22796138,128.6819403,2025-08-07,5670000,경상남도 창원시
제25회 창원 남산 상봉제,창원남산공원 일원,개막축하공연 및 전통놀이마당 등,2025-10-11,2025-10-12,13:00,18:00,무료,경상남도 창원시,경상남도 창원시,055-225-3655,,,,,,,,, ,"경상남도 창원시 성산구 중앙대로 151, 문화예술과 (용호동) (용호동)",,35.22796138,128.6819403,2025-08-07,5670000,경상남도 창원시
찾아가는 문화공연,강서구 관내,문화공연,2025-03-01,2025-11-30,09:00,18:00,무료,부산광역시 강서구청,부산광역시 강서구청,051-970-4062,,,,,,,,, ,부산광역시 강서구 낙동북로 477,,35.21220294,128.9805851,2025-08-21,3360000,부산광역시 강서구
제19회 한여름밤의 청도열린음악회,청도신화랑풍류마을 야외공연장,"가요, 트로트, 성악, 댄스공연 등",2025-08-09,2025-08-09,19:00,21:00,무료,청도열린음악회추진발전위원회,경상북도 청도군,054-372-2377,,0,,,,,,, ,경상북도 청도군 운문면 신화랑길 1,,35.717379,128.921851,2025-08-18,5190000,경상북도 청도군
계양아라온 찾아가는 음악회,계양아라온 황어광장 일원,계양아라온 한마음 걷기 행사와 연계하여 음악회 개최,2024-05-31,2024-05-31,18:00,21:00,무료,인천광역시 계양구청,인천광역시 계양구청,032-450-5877,,,무료,전연령대,,,,, ,,인천광역시 계양구 장기동 109-1,,,2025-08-20,3550000,인천광역시 계양구
제30회 계양구민의 날 기념 가을음악회,계양아시아드양궁장,제30회 계양구민의 날 기념 가을음악회,2024-10-05,2024-10-05,18:30,21:00,무료,인천광역시 계양구청,인천광역시 계양구청,032-450-5874,,,무료,전연령대,,,,, ,인천광역시 계양구 봉오대로 855,인천광역시 계양구 서운동 207,37.532655,126.747539,2025-08-20,3550000,인천광역시 계양구
「책빛따라 아라온」 찾아가는 음악회,계양아라온 야외무대,계양구 책 축제와 연계하여 음악회 개최,2024-10-03,2024-10-03,16:00,16:40,무료,인천광역시 계양구청,인천광역시 계양구청,032-450-5877,,,무료,전연령대,,,,, ,,인천광역시 계양구 장기동 112-6,,,2025-08-20,3550000,인천광역시 계양구
투깝쇼,창녕문화예술회관 대공연장,개그쇼,2019-11-15,2019-11-15,19:30,21:00,유료,세종공연예술센터,경상남도 창녕군청,055-530-1911,,496,1층: 10000원+2층: 7000원,8세 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
이성자 초대전-아버지의 정원,창녕문화예술회관 전시실,전시,2019-11-20,2019-12-19,10:00,18:00,무료,경상남도 진주시청+경상남도 창녕군청,경상남도 창녕군청,055-530-1911,,,,,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
문화가 있는 날-아퀼라의 음악산책,창녕문화예술회관 대공연장,콘서트,2019-11-27,2019-11-27,19:30,21:10,무료,한국문화예술회관연합회 등,경상남도 창녕군청,055-530-1911,,496,,8세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
해피크리스마스 콘서트,창녕문화예술회관 대공연장,콘서트,2019-12-24,2019-12-24,19:00,20:40,유료,문화공감,경상남도 창녕군청,055-530-1911,,496,1층: 20000원+2층: 15000원,8세 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
소소한 콘서트-서영은,창녕문화예술회관 대공연장,콘서트,2019-12-27,2019-12-27,19:00,20:00,유료,현씨앤씨,경상남도 창녕군청,055-530-1911,,496,1층: 5000원+2층: 3000원,8세 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
신비아파트,창녕문화예술회관 대공연장,영화,2020-01-11,2020-01-11,10:30,12:07,유료,CJ CGV,경상남도 창녕군청,055-530-1911,,496,7000원,전체 관람가,5000원(청소년+장애인+유공자+만65세 이상 경로자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
천문,창녕문화예술회관 대공연장,영화,2020-01-11,2020-01-11,13:00,15:12,유료,CJ CGV,경상남도 창녕군청,055-530-1911,,496,7000원,12세 관람가,5000원(청소년+장애인+유공자+만65세 이상 경로자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
미드웨이,창녕문화예술회관 대공연장,영화,2020-01-11,2020-01-11,16:00,18:16,유료,CJ CGV,경상남도 창녕군청,055-530-1911,,496,7000원,15세 관람가,5000원(청소년+장애인+유공자+만65세 이상 경로자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
빵굽는 포포아저씨,창녕문화예술회관 대공연장,연극,2020-01-16,2020-01-16,10:30,11:30,유료,(주)리히더스,경상남도 창녕군청,055-530-1911,,496,1층: 5000원+2층: 3000원,24개월 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
빵굽는 포포아저씨,창녕문화예술회관 대공연장,연극,2020-01-16,2020-01-16,13:00,14:00,유료,(주)리히더스,경상남도 창녕군청,055-530-1911,,496,1층: 5000원+2층: 3000원,24개월 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
슈퍼베어,창녕문화예술회관 대공연장,영화,2020-01-27,2020-01-27,10:30,11:48,유료,CJ CGV,경상남도 창녕군청,055-530-1911,,496,7000원,전체 관람가,5000원(청소년+장애인+유공자+만65세 이상 경로자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
스타워즈,창녕문화예술회관 대공연장,영화,2020-01-27,2020-01-27,13:30,15:51,유료,CJ CGV,경상남도 창녕군청,055-530-1911,,496,7000원,12세 관람가,5000원(청소년+장애인+유공자+만65세 이상 경로자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
미스터 주,창녕문화예술회관 대공연장,영화,2020-01-27,2020-01-27,16:30,18:23,유료,CJ CGV,경상남도 창녕군청,055-530-1911,,496,7000원,12세 관람가,5000원(청소년+장애인+유공자+만65세 이상 경로자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
행오버,창녕문화예술회관 소공연장,연극,2020-01-29,2020-01-29,19:00,20:30,유료,예빛달,경상남도 창녕군청,055-530-1911,,198,3000원,12세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
고흐 미술놀이,창녕문화예술회관 전시실,전시,2020-01-29,2020-02-06,10:30,18:00,무료,네오펜슬,경상남도 창녕군청,055-530-1911,,,,,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
초미의 관심사,창녕문화예술회관 대공연장,영화,2020-06-13,2020-06-13,10:30,12:02,유료,CJ CGV,경상남도 창녕군청,055-530-1911,,496,7000원,15세 이상,5000원(청소년+장애인+유공자+만65세 이상 경로자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
에어로너츠,창녕문화예술회관 대공연장,영화,2020-06-13,2020-06-13,16:00,17:40,유료,CJ CGV,경상남도 창녕군청,055-530-1911,,496,7000원,12세 이상,5000원(청소년+장애인+유공자+만65세 이상 경로자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
오빠생각,창녕문화예술회관 대공연장,영화,2020-06-20,2020-06-20,10:30,12:03,무료,경상남도 창녕군청,경상남도 창녕군청,055-530-1911,,496,,12세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
고지전,창녕문화예술회관 대공연장,영화,2020-06-20,2020-06-20,16:00,18:13,무료,경상남도 창녕군청,경상남도 창녕군청,055-530-1911,,496,,15세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
죽여주는 이야기,창녕문화예술회관 대공연장,연극,2020-06-24,2020-06-24,19:00,20:40,유료,㈜삼형제 엔터테이먼트,경상남도 창녕군청,055-530-1911,,496,3000원,8세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
김정문화회관 기획공연 시리즈 토요일 토요일은 클래식 1.퍼니 밴드,김정문회회관,연주회,2023-04-08,2023-04-08,17:00,17:00,무료,김정문화회관,김정문화회관,064-760-3792,,,,,,,,,Y,제주특별자치도 서귀포시 김정문화로 36,제주특별자치도 서귀포시 강정동 176,33.251069,126.508668,2025-06-30,6520000,제주특별자치도 서귀포시
가족뮤지컬 고고다이노 우리동네공룡,서귀포예술의전당 대극장,뮤지컬,2023-04-08,2023-04-09,11:00,17:00,유료,서귀포예술의전당,㈜엔투게더,064-760-3365,,,R석60000원+S석50000원,,,,,,Y,제주특별자치도 서귀포시 태평로 270,제주특별자치도 서귀포시 서홍동 551-1,33.246333,126.550791,2025-06-30,6520000,제주특별자치도 서귀포시
서귀포관악단 즐거운주말 토요힐링콘서트,서귀포예술의전당 소극장,연주회,2023-04-08,2023-04-08,15:00,16:30,무료,제주특별자치도립 서귀포예술단,제주특별자치도 서귀포시 문화예술과,064-739-0641,,,,,,,,,Y,제주특별자치도 서귀포시 태평로 270,제주특별자치도 서귀포시 서홍동 551-1,33.246333,126.550791,2025-06-30,6520000,제주특별자치도 서귀포시
4월 시민을 위한 무료영화,서귀포예술의전당 대극장,영화상영,2023-04-13,2023-04-13,19:00,21:00,무료,서귀포예술의전당,서귀포예술의전당,064-760-3352,,,,,,,,,Y,제주특별자치도 서귀포시 태평로 270,제주특별자치도 서귀포시 서홍동 551-1,33.246333,126.550791,2025-06-30,6520000,제주특별자치도 서귀포시
신효건 피아노 독주회,서귀포예술의전당 소극장,연주회,2023-04-14,2023-04-14,15:00,16:30,유료,서귀포예술의전당,신효건,064-760-3365,,,20000원,,,,,,Y,제주특별자치도 서귀포시 태평로 270,제주특별자치도 서귀포시 서홍동 551-1,33.246333,126.550791,2025-06-30,6520000,제주특별자치도 서귀포시
조이유스오케스트라 창단연주회,서귀포예술의전당 대극장,연주회,2023-04-15,2023-04-15,19:00,20:30,무료,서귀포예술의전당,이선아,064-760-3365,,,,,,,,,Y,제주특별자치도 서귀포시 태평로 270,제주특별자치도 서귀포시 서홍동 551-1,33.246333,126.550791,2025-06-30,6520000,제주특별자치도 서귀포시
청소년음악회-톡톡 클래식,창녕문화예술회관 대공연장,클래식,2019-07-19,2019-07-19,19:30,20:50,유료,㈜크레디아프로젝트+한국문화예술회관연합회,경상남도 창녕군청,055-530-1911,,496,,초등학생 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
업사이클링 플레이,창녕문화예술회관 전시실,전시,2019-07-23,2019-08-31,10:30,16:00,유료,네오펜슬,경상남도 창녕군청,055-530-1911,,,,,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
문화가 있는 날-음악사의 하이라이트,창녕문화예술회관 대공연장,클래식,2019-07-31,2019-07-31,19:30,20:40,무료,한국문화예술회관연합회 등,경상남도 창녕군청,055-530-1911,,496,,초등학생 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
창녕아 놀자 썸머 다이나믹쇼,창녕문화예술회관 야외공연장,콘서트,2019-08-09,2019-08-09,18:30,21:00,무료,현씨앤씨,경상남도 창녕군청,055-530-1911,,,,초등학생 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
렛츠댄스 크레이지 사춤 시즌2,창녕문화예술회관 대공연장,뮤지컬,2019-08-14,2019-08-14,19:30,21:00,유료,㈜두비커뮤니케이션,경상남도 창녕군청,055-530-1911,,496,1층: 10000원+2층: 7000원,초등학생 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
스윙(라이브버전),창녕문화예술회관 대공연장,무용,2019-08-23,2019-08-23,19:30,20:40,유료,국립현대무용단,경상남도 창녕군청,055-530-1911,,496,1층: 7000원+2층: 5000원,8세 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
문화가 있는 날-합창으로 듣는 정가,창녕문화예술회관 대공연장,정가,2019-08-28,2019-08-28,19:30,20:50,무료,한국문화예술회관연합회 등,경상남도 창녕군청,055-530-1911,,496,,8세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
미안해요 미술관,창녕문화예술회관 전시실,전시,2019-09-17,2019-10-16,10:00,18:00,무료,한국문화예술회관연합회 등,경상남도 창녕군청,055-530-1911,,,,,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
낭만콘서트 5080,창녕문화예술회관 대공연장,콘서트,2019-09-18,2019-09-18,19:30,21:00,무료,대한가수협회,문화체육관광부+한국콘텐츠 진흥원,055-530-1911,,496,,8세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
